CLAIMS: 304 bullets in the card
  card -> packet:   PASS
  packet -> original: PASS
  traced end to end: 304 of 304 bullets

Section | Statement | Anchor | Where the quote sits in the original
  §10 | S072 | NM-EDD p. 6 line 40 | found in original on p. 6
  §10 | S073 | NM-EDD p. 6 line 42 | found in original on p. 6
  §10 | S074 | NM-EDD p. 6 line 43 | found in original on p. 6
  §10 | S075 | NM-EDD p. 6 line 45 | found in original on p. 6
  §10 | S076 | NM-EDD p. 6 line 46 | found in original on p. 6
  §10 | S077 | NM-EDD p. 7 line 3 | found in original on p. 7
  §10 | S078 | NM-EDD p. 7 line 5 | found in original on p. 7
  §10 | S079 | NM-EDD p. 7 line 7 | found in original on p. 7
  §10 | S080 | NM-EDD p. 7 line 9 | found in original on p. 7
  §10 | S081 | NM-EDD p. 7 line 10 | found in original on p. 7
  §10 | S082 | NM-EDD p. 7 line 13 | found in original on p. 7
  §10 | S083 | NM-EDD p. 7 line 15 | found in original on p. 7
  §10 | S084 | NM-EDD p. 7 line 17 | found in original on p. 7
  §10 | S088 | NM-EDD p. 7 line 22 | found in original on p. 7
  §10 | S089 | NM-EDD p. 7 line 23 | found in original on p. 7
  §10 | S090 | NM-EDD p. 7 line 25 | found in original on p. 7
  §10 | S095 | NM-EDD p. 7 line 31 | found in original on p. 7
  §10 | S108 | NM-EDD p. 8 line 3 | found in original on p. 8
  §10 | S117 | NM-EDD p. 8 line 15 | found in original on p. 8
  §10 | S119 | NM-EDD p. 8 line 19 | found in original on p. 8
  §10 | S121 | NM-EDD p. 8 line 21 | found in original on p. 8
  §10 | S123 | NM-EDD p. 8 line 26 | found in original on p. 8
  §10 | S124 | NM-EDD p. 8 line 27 | found in original on p. 8
  §10 | S126 | NM-EDD p. 8 line 32 | found in original on p. 8
  §10 | S144 | NM-EDD p. 21 line 24 | found in original on p. 21
  §10 | S148 | NM-EDD p. 21 line 29 | found in original on p. 21
  §10 | S181 | NM-EDD p. 22 line 30 | found in original on p. 22
  §10 | S182 | NM-EDD p. 22 line 32 | found in original on p. 22
  §10 | S204 | NM-EDD p. 23 line 24 | found in original on p. 23
  §11 | S111 | NM-EDD p. 8 line 6 | found in original on p. 8
  §11 | S119 | NM-EDD p. 8 line 19 | found in original on p. 8
  §11 | S121 | NM-EDD p. 8 line 21 | found in original on p. 8
  §12 | S009 | NM-EDD p. 4 line 1 | found in original on p. 4
  §12 | S010 | NM-EDD p. 4 line 2 | found in original on p. 4
  §12 | S012 | NM-EDD p. 4 line 7 | found in original on p. 4
  §12 | S015 | NM-EDD p. 4 line 15 | found in original on p. 4
  §12 | S017 | NM-EDD p. 4 line 17 | found in original on p. 4
  §12 | S028 | NM-EDD p. 4 line 35 | found in original on p. 4
  §12 | S030 | NM-EDD p. 4 line 36 | found in original on p. 4
  §12 | S031 | NM-EDD p. 4 line 37 | found in original on p. 4
  §12 | S032 | NM-EDD p. 5 line 1 | found in original on p. 5
  §12 | S033 | NM-EDD p. 5 line 2 | found in original on p. 5
  §12 | S092 | NM-EDD p. 7 line 27 | found in original on p. 7
  §12 | S093 | NM-EDD p. 7 line 28 | found in original on p. 7
  §12 | S094 | NM-EDD p. 7 line 30 | found in original on p. 7
  §12 | S110 | NM-EDD p. 8 line 5 | found in original on p. 8
  §12 | S112 | NM-EDD p. 8 line 8 | found in original on p. 8
  §12 | S113 | NM-EDD p. 8 line 9 | found in original on p. 8
  §12 | S132 | NM-EDD p. 21 line 9 | found in original on p. 21
  §12 | S133 | NM-EDD p. 21 line 10 | found in original on p. 21
  §12 | S136 | NM-EDD p. 21 line 15 | found in original on p. 21
  §12 | S139 | NM-EDD p. 21 line 18 | found in original on p. 21
  §12 | S141 | NM-EDD p. 21 line 20 | found in original on p. 21
  §12 | S145 | NM-EDD p. 21 line 26 | found in original on p. 21
  §12 | S147 | NM-EDD p. 21 line 28 | found in original on p. 21
  §12 | S149 | NM-EDD p. 21 line 33 | found in original on p. 21
  §12 | S150 | NM-EDD p. 21 line 34 | found in original on p. 21
  §12 | S172 | NM-EDD p. 22 line 18 | found in original on p. 22
  §12 | S173 | NM-EDD p. 22 line 19 | found in original on p. 22
  §12 | S178 | NM-EDD p. 22 line 27 | found in original on p. 22
  §12 | S184 | NM-EDD p. 23 line 1 | found in original on p. 23
  §12 | S188 | NM-EDD p. 23 line 6 | found in original on p. 23
  §12 | S191 | NM-EDD p. 23 line 8 | found in original on p. 23
  §12 | S194 | NM-EDD p. 23 line 10 | found in original on p. 23
  §12 | S199 | NM-EDD p. 23 line 18 | found in original on p. 23
  §12 | S202 | NM-EDD p. 23 line 23 | found in original on p. 23
  §12 | S203 | NM-EDD p. 23 line 23 | found in original on p. 23
  §12 | S205 | NM-EDD p. 23 line 26 | found in original on p. 23
  §12 | S206 | NM-EDD p. 23 line 27 | found in original on p. 23
  §12 | S208 | NM-EDD p. 23 line 31 | found in original on p. 23
  §12 | S209 | NM-EDD p. 23 line 32 | found in original on p. 23
NOTE: REVIEW run-results\red-team-5\B-card-210\bid-compliance-card-part-1.md (+2 part(s)): S024, S089, S131, S143, S144, S149, S150, S172 look like evaluation terms but are not in Section 7; confirm that is intended
PACKET: NOT TEXT: content in images cannot be copied or verified; check these pages by eye:
PACKET: REVIEW: original text not carried into any statement (confirm each omission is intended):
